Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2015-01-02,24.192604064941406,24.659506182275138,23.75446781268404,24.648441478964468,212818400
2015-01-05,23.51105499267578,24.042128572510556,23.325180168263614,23.962467451123523,257142000
2015-01-06,23.513267517089844,23.772165309183304,23.152579204524255,23.575225789908487,263188400
2015-01-07,23.842979431152344,23.94255500406204,23.610634176714214,23.72127445249682,160423600
2015-01-08,24.759077072143555,24.816610479641703,24.053191678114224,24.17047177100101,237458000
2015-01-09,24.785640716552734,25.060028190479436,24.38733495743574,24.931685036070956,214798000
2015-01-12,24.174903869628906,24.922831637875944,24.075328281845096,24.916193490455274,198603200
2015-01-13,24.38953971862793,24.96044387790698,24.099662771315515,24.657288951103045,268367600
2015-01-14,24.29660415649414,24.44928658228224,24.00893877695945,24.12843047207833,195826400
2015-01-15,23.637187957763672,24.35413645717828,23.60178394813456,24.34086016459694,240056000
2015-01-16,23.453523635864258,23.805360567456344,23.27871180910595,23.68365559685356,314053200
2015-01-20,24.05763053894043,24.11295069684335,23.56638726664453,23.86290250265031,199599600
2015-01-21,24.241289138793945,24.57542161180635,23.958048567472943,24.10851943514098,194303600
2015-01-22,24.871931076049805,24.8874206451012,24.278899207996158,24.3983908927797,215185600
2015-01-23,25.000272750854492,25.1706580006503,24.679414998563754,24.849801936595878,185859200
2015-01-26,25.02682876586914,25.305642719304203,24.960445616732773,25.168448176577243,222460000
2015-01-27,24.15056037902832,24.889638333300006,24.126219382172156,24.876360351591465,382274800
2015-01-28,25.51585578918457,26.137655187863214,25.51585578918457,26.029226519367846,585908400
2015-01-29,26.310256958007812,26.374428518206834,25.571179064885065,25.739352750639867,337745600
2015-01-30,25.925230026245117,26.55366597735562,25.856631907802715,26.19961743530487,334982000
2015-02-02,26.250513076782227,26.370004785647765,25.68624864341562,26.122171630877833,250956400
2015-02-03,26.25493621826172,26.352298507154856,26.02480425574212,26.2217437998551,207662800
2015-02-04,26.456302642822266,26.666520183230848,26.179701948787283,26.221745794516334,280598800
2015-02-05,26.6451358795166,26.70956070561401,26.49184916587451,26.662906901105913,168984800
2015-02-06,26.420757293701172,26.714000306189355,26.314122700569396,26.662904175232608,174826400
2015-02-09,26.596261978149414,26.622919358205184,26.30968327825307,26.336342353208384,155559200
2015-02-10,27.10721778869629,27.1360988800661,26.694013099240877,26.69623341788492,248034000
2015-02-11,27.742572784423828,27.75145914200605,27.213847220027088,27.273828015082834,294247200
2015-02-12,28.093576431274414,28.320174313577628,27.895859634991865,28.004714549879026,297898000
2015-02-13,28.23130989074707,28.27573997999538,27.91362983741381,28.27573997999538,217088800
2015-02-17,28.397924423217773,28.631186622082282,28.195763624881966,28.322391239862906,252609600
2015-02-18,28.59564971923828,28.608978410609364,28.313513322619073,28.353501091632044,179566800
2015-02-19,28.53567123413086,28.664520918516914,28.509013847637164,28.542335580754283,149449600
2015-02-20,28.7689208984375,28.7689208984375,28.44679852386642,28.573424443890232,195793600
2015-02-23,29.546464920043945,29.546464920043945,28.804471802520936,28.884447331881436,283896400
2015-02-24,29.362077713012695,29.679759521946426,29.139923834524474,29.5331371485924,276912400
2015-02-25,28.611196517944336,29.235451763904805,28.469018171309017,29.226563710478064,298846800
2015-02-26,28.973312377929688,29.073280958926343,28.12690652779856,28.611200421862183,365150000
2015-02-27,28.53789710998535,29.00664206696128,28.489022971168893,28.880012691900408,248059200
2015-03-02,28.677833557128906,28.942197124526487,28.502333544628584,28.71337897908781,192386800
2015-03-03,28.737825393676758,28.773370827213807,28.455689023399984,28.648965199633246,151265200
2015-03-04,28.55565643310547,28.782254325481713,28.506785701219396,28.680065445448587,126665200
2015-03-05,28.082469940185547,28.602309153184912,27.93806959383036,28.564543404185695,226068400
2015-03-06,28.124675750732422,28.74004114058892,28.049144258829877,28.524551645020985,291368400
2015-03-09,28.24464225769043,28.78447791228204,27.78256181176065,28.426808359176277,354114000
2015-03-10,27.66037368774414,28.262410360171007,27.502644672745152,28.082466301280466,275426400
2015-03-11,27.156091690063477,27.718140774053996,27.127212293835008,27.71369844190335,275756000
2015-03-12,27.64704704284668,27.74701729622156,27.020573228981956,27.171637920724486,193450800
2015-03-13,27.455989837646484,27.858089404925604,27.231615699468243,27.635935584623006,207309200
2015-03-16,27.75812530517578,27.75812530517578,27.296046544920685,27.520420732700014,143497200
2015-03-17,28.222434997558594,28.28463782573203,27.91364117562621,27.969179657195344,204092400
2015-03-18,28.540109634399414,28.693396356113592,28.073586818847133,28.21354315504293,261083600
2015-03-19,28.32461929321289,28.713388577629537,28.302404244511855,28.602311639224784,183238000
2015-03-20,27.969175338745117,28.524558373785165,27.80478193325487,28.491236645908533,274780400
2015-03-23,28.260190963745117,28.402369291693496,28.106904265372904,28.240197930861452,150838800
2015-03-24,28.144670486450195,28.444576136086017,28.115789402561358,28.264633763244095,131369200
2015-03-25,27.409345626831055,28.173555530969583,27.409345626831055,28.11135271456754,206620800
2015-03-26,27.60039710998535,27.74257545518956,27.236064888537122,27.27161032228796,190291600
2015-03-27,27.380462646484375,27.70258505848325,27.304931149287167,27.67370566747833,158184800
2015-03-30,28.073583602905273,28.080247947451227,27.547078350082643,27.558186720925512,188398800
2015-03-31,27.642610549926758,28.10024705323261,27.62705984432607,28.0113851519859,168362400
2015-04-01,27.602615356445312,27.795889812565672,27.347138094649253,27.729242980827802,162485600
2015-04-02,27.84031105041504,27.893627481910805,27.58927789451111,27.7758862521957,128880400
2015-04-06,28.291296005249023,28.32684143925686,27.620392039897094,27.65149344720416,148776000
2015-04-07,27.993606567382812,28.462349622438023,27.98694222319662,28.3557167256603,140049200
2015-04-08,27.90252685546875,28.08025063657794,27.762570521902486,27.958065325202924,149316800
2015-04-09,28.11579132080078,28.1202353470404,27.693700352605102,27.9580622872825,129936000
2015-04-10,28.235761642456055,28.260198708165728,27.826999261312125,27.980284306791184,160752000
2015-04-13,28.180219650268555,28.56232629417243,28.126903193051565,28.51789280584231,145460400
2015-04-14,28.058034896850586,28.27796675701111,27.971395021790396,28.213541930317717,102098400
2015-04-15,28.1646728515625,28.242426382222547,27.9936150841104,28.082476988393246,115881600
2015-04-16,28.029155731201172,28.235758915493303,28.01582704024673,28.053592794550752,113476000
2015-04-17,27.713693618774414,28.022487343944757,27.64926879695406,27.891417382065,207828000
2015-04-20,28.346834182739258,28.46235345227572,27.80700019732746,27.8958620865322,188217200
2015-04-21,28.193552017211914,28.480129054206348,28.14023386134807,28.457915698279347,129740400
2015-04-22,28.57342529296875,28.628963751952003,28.062472487262376,28.21131515056167,150618000
2015-04-23,28.806690216064453,28.973305608731458,28.466795086207675,28.502340516861693,183083600
2015-04-24,28.942211151123047,29.019966375616807,28.70894886744142,28.988864963779235,178103600
2015-04-27,29.468713760375977,29.57535007404952,29.135482907195097,29.393182247206862,387816800
2015-04-28,29.00441551208496,29.88858717244409,28.78448529879101,29.87081784170909,475696000
2015-04-29,28.57787322998047,29.233226457714377,28.502341728977694,28.915548055956197,253544400
2015-04-30,27.802560806274414,28.57787743942009,27.675933151606497,28.57787743942009,332781600
2015-05-01,28.646739959716797,28.908883280787258,27.835879715578056,28.013601789062115,234050400
2015-05-04,28.59120750427246,29.006637620531052,28.49345924162338,28.768931310016274,203953200
2015-05-05,27.946956634521484,28.53566301536573,27.942512608119188,28.46901617852702,197085600
2015-05-06,27.771451950073242,28.157999156225962,27.404897775923576,28.11578938435379,288564000
2015-05-07,27.94322967529297,28.126156702399538,27.66660698885533,27.833918356403263,175763600
2015-05-08,28.46969985961914,28.46969985961914,28.132845865882516,28.260002423494758,222201600
2015-05-11,28.179689407348633,28.456310328431748,28.025762439836637,28.418386835617703,168143200
2015-05-12,28.079309463500977,28.304620877619083,27.845072870312944,28.01907641863355,192640000
2015-05-13,28.11054039001465,28.373777003589282,28.079309071622678,28.141771708406623,138776800
2015-05-14,28.766403198242188,28.766403198242188,28.367088193902088,28.422858655086724,180814000
2015-05-15,28.726247787475586,28.886866975073346,28.601322509112556,28.793173016301076,152832000
2015-05-18,29.043020248413086,29.161253330755034,28.63478014366407,28.639242732797204,203531600
2015-05-19,29.016260147094727,29.196955915182777,28.92033317398627,29.154569815713398,178532800
2015-05-20,29.01402473449707,29.219259627089205,28.85340553091038,29.000640368191327,145819600
2015-05-21,29.310728073120117,29.364268949738317,28.962720885000174,29.016261761618374,158921600
2015-05-22,29.56725311279297,29.663180033616797,29.312940058548296,29.357559130907642,182384000
2015-05-26,28.91586685180664,29.649808007569362,28.804325932422774,29.58065318218476,282790400
2015-05-27,29.455718994140625,29.504797261823935,29.01178839640263,29.076480619826217,183332800
2015-05-28,29.39772605895996,29.435649565163274,29.246032034146715,29.415573015518973,122933200
2015-05-29,29.06310272216797,29.324108074389464,28.978330531136447,29.275029795787933,203538000
2015-06-01,29.121095657348633,29.310716542310313,29.01178775769887,29.063095616798922,128451200
2015-06-02,28.991716384887695,29.147872986498268,28.848944148563945,28.96940684010392,134670400
2015-06-03,29.027406692504883,29.210335427396807,28.978328417483077,29.147872787179708,123934000
2015-06-04,28.857868194580078,29.130028323353766,28.75748204307215,28.906946473798865,153800400
2015-06-05,28.699474334716797,28.93148133012239,28.634782105665426,28.889095240348773,142507200
2015-06-08,28.509855270385742,28.824401431399306,28.293465647897676,28.75524321274129,210699200
2015-06-09,28.425085067749023,28.572319885753103,28.02353881333458,28.26446588519156,224301600
2015-06-10,28.75078582763672,28.853401557823254,28.521010125158224,28.536625784357813,156349200
2015-06-11,28.68609046936035,29.04078974685961,28.661551332957096,28.817707926451256,141563600
